amazon-order-id	merchant-order-id	purchase-date	last-updated-date	order-status	fulfillment-channel	sales-channel	order-channel	url	ship-service-level	product-name	sku	asin	item-status	quantity	currency	item-price	item-tax	shipping-price	shipping-tax	gift-wrap-price	gift-wrap-tax	item-promotion-discount	ship-promotion-discount	ship-city	ship-state	ship-postal-code	ship-country	promotion-ids	is-business-order	purchase-order-number	price-designation	signature-confirmation-recommended 
S01-8594572-6278862	d2EAG1hfUZ	2025-03-13T15:39:33+00:00	2025-03-17T21:23:24+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.N1338-3-Sage_Green-8x1-nAF22H-PO	B0DBZGL9YS	Unshipped	1															false			false
S01-7079178-5105723	66WHj3dgP/	2025-03-12T17:04:46+00:00	2025-03-25T05:32:17+00:00	Shipping	Amazon	Non-Amazon			Standard	-	G24267-1A-Cream-5x7-US-V1	B0DBYX9CK6	Unshipped	1															false			false
S01-3066314-3062269	gzto1xPCVw	2025-03-11T14:32:20+00:00	2025-03-11T21:24:03+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.N1338-3-Sage_Green-5x7-IbHX6C-PO	B0DBYV7V8N	Unshipped	1															false			false
S01-5292291-6127762	nvuYpr049D	2025-03-10T18:46:02+00:00	2025-03-11T01:28:49+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.N1338-3-Sage_Green-5x7-IbHX6C-PO	B0DBYV7V8N	Unshipped	1															false			false
S01-9806714-9146621	hRT4QNxiny	2025-03-09T17:36:18+00:00	2025-03-13T05:50:49+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.N1338-1-Orange-8x10-US-TVK46K-PO	B0DBYSVWYJ	Unshipped	1															false			false
S01-9032767-6988632	Uv8eofrU52	2025-03-08T15:59:15+00:00	2025-03-12T09:33:28+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.G24267-2-Beige-9x12-US-mX86YF-PO	B0DBVN24HV	Unshipped	1															false			false
S01-3787791-2611545	8m0nTAg5oo	2025-03-06T18:20:35+00:00	2025-03-11T16:09:03+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.N1338-3-Sage_Green-8x1-nAF22H-PO	B0DBZGL9YS	Unshipped	1															false			false
S01-9448352-5818637	lOMQKY42a7	2025-03-04T17:01:05+00:00	2025-03-11T12:43:32+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.G24267-2-Beige-6x9-US--C2vc3f-PO	B0DBVM7S5P	Unshipped	1															false			false
S01-3325556-7189312	DuMFszfhia	2025-03-03T17:42:12+00:00	2025-03-10T04:54:01+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.G24267-1A-Cream-9x12-U-k2A3hC-PO	B0DBYZ1P1H	Unshipped	1															false			false
S01-3881762-5177636	TCi90q6L1w	2025-03-02T18:06:39+00:00	2025-03-05T07:59:52+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.G24267-5-Green-9x12-US-6Y3hZr-PO	B0DBVMLB8P	Unshipped	1															false			false
S01-0126115-7116461	kKJvm/3ZiY	2025-03-01T14:37:12+00:00	2025-03-05T00:44:33+00:00	Shipped	Amazon	Non-Amazon			Standard	-	amzn.gr.G24268-7-Black-8x10-US-BESbfh-PO	B0DBY8NGRN	Unshipped	1															false			false
